codigoParroquia;nombreParroquia;idCanton
01;11 DE NOVIEMBRE (ILINCHISI);70
02;12 DE MARZO;85
03;16 DE AGOSTO;32
04;18 DE OCTUBRE;85
05;24 DE MAYO;71
06;5 DE AGOSTO;93
07;ABDÓN CALDERÓN (LA UNIÓN);09
08;ABDÓN CALDERÓN (SAN FRANCISCO);85
09;ABRAHAM CALAZACÓN;53
10;AGUAS NEGRAS;124
11;AHUANO;07
12;ALAMOR ;154
13;ALANGASÍ;04
14;ALAQUEZ (ALAQUES);70
15;ALAUSÍ ;130
16;ALEJANDRO LABACA;31
17;ALFREDO BAQUERIZO MORENO (JUJAN) ;160
18;ALHAJUELA (BAJO GRANDE);85
19;ALLURIQUÍN;53
20;ALÓAG;60
21;ALOASÍ;60
22;AMAGUAÑA;04
23;AMALUZA ;187
24;AMBATO ;42
25;AMBUQUÍ;18
26;ANCONCITO;25
27;ANDRADE MARÍN  (LOURDES) ;113
28;ANDRÉS DE VERA;85
29;ANGEL PEDRO GILER (LA ESTANCILLA);159
30;ÁNGEL POLIBIO CHÁVES;47
31;ANGOCHAGUA;18
32;ANTONIO SOTOMAYOR (CAB EN PLAYAS DE VINCES);40
33;APUELA;94
34;ARCHIDONA ;153
35;ARENILLAS ;74
36;ASCÁZUBI;55
37;ASUNCIÓN;16
38;ATACAMES ;02
39;ATAHUALPA;04
40;ATAHUALPA (CHISALATA);42
41;ATOCHA – FICOA;42
42;ATUNTAQUI ;113
43;AUGUSTO N. MARTINEZ (MUNDUGLEO);42
44;AYACUCHO;05
45;AZOGUES ;30
46;BABA ;186
47;BABAHOYO ;87
48;BAEZA ;121
49;BAHÍA DE CARÁQUEZ ;73
50;BALAO ;150
51;BALLENITA;03
52;BALSAPAMBA;89
53;BALSAS ;143
54;BALZAR ;167
55;BAÑOS;01
56;BAÑOS DE AGUA SANTA ;91
57;BARTOLOMÉ RUIZ (CÉSAR FRANCO CARRIÓN) ;93
58;BELISARIO QUEVEDO (GUANAILIN);70
59;BELLA VISTA;33
60;BELLAMARIA;133
61;BELLAVISTA;01
62;BENITEZ (PACHANLICA);139
63;BIBLIÁN ;41
64;BOLÍVAR;66
65;BOLÍVAR  (SAGRARIO) ;05
66;BOMBOLÍ;53
67;BORBÓN;155
68;BORRERO;30
69;BUENAVISTA;15
70;CAHUASQUI;109
71;CAJABAMBA;131
72;CALACALÍ;04
73;CALCETA ;174
74;CALDERÓN (CARAPUNGO);04
75;CALPI;54
76;CALUMA ;82
77;CAMARONES (CAB EN SAN VICENTE);93
78;CAMILO PONCE ENRÍQUEZ ;68
79;CANGAHUA;55
80;CANOA;86
81;CAÑAR ;56
82;CAÑARIBAMBA;01
83;CAÑI;131
84;CAPIRO (CAB EN LA CAPILLA DE CAPIRO);88
85;CARANQUI;18
86;CARBO (CONCEPCIÓN);05
87;CARBO (CONCEPCIÓN) ;05
88;CARIAMANGA;181
89;CARIAMANGA ;181
90;CARIGÁN;26
91;CARLOS ESPINOZA LARREA;25
92;CARLOS JULIO AROSEMENA TOLA ;203
93;CAROLINA;18
94;CASACAY;15
95;CASCOL;62
96;CATACOCHA ;182
97;CATAMAYO (LA TOMA) ;100
98;CAYAMBE ;55
99;CEBADAS;125
100;CELIANO MONGE;42
101;CELICA ;185
102;CEVALLOS ;207
103;CHACRAS;74
104;CHAGUARPAMBA ;189
105;CHAMBO ;129
106;CHANDUY;03
107;CHARAPOTÓ;73
108;CHECA;04
109;CHICÁN (GUILLERMO ORTEGA);35
110;CHIGUILPE;53
111;CHILE;181
112;CHILLANES;92
113;CHONE ;168
114;CHONGON;05
115;CHONTAPUNTA;07
116;CHORDELEG ;20
117;CHUGCHILLÁN;116
118;CHUNCHI ;136
119;CIUDAD NUEVA;58
120;CLEMENTE BAQUERIZO;87
121;COJIMÍES;52
122;COLÓN;85
123;COLONCHE;03
124;CONOCOTO;04
125;CORONEL CARLOS CONCHA TORRES (CAB. EN HUELE);93
126;CORONEL MARCELINO MARIDUEÑA ;166
127;COSANGA;121
128;COTACACHI ;94
129;COTUNDO;153
130;CRUCITA;85
131;CUENCA ;01
132;CUMANDÁ ;135
133;CUMANDA (CAB EN COLONIA AGRICOLA SEVILLA DEL ORO);32
134;CUMBARATZA;29
135;CUMBAYÁ;04
136;CUMBE;01
137;CUNCHIBAMBA;42
138;CUTUGLAHUA;60
139;CUYUJA;121
140;DAULE;66
141;DAULE ;161
